Country,Year,HPI,HPIgrowth,Inflation_Rate,GDP,GDP_Growth_Rate,Total_Refugees,Total_Asylum,Totaldisplaced,Displacedgrowth,Population,HPI_Growth,Rugees_Growth,Refugees_per_1000,Housing_Supply
Estonia,2020,132.79,6.003033447752851,-0.44453109767983,31820771493.897366,-2.8838100414032795,277,5,282,-22.52747252747253,1329522,6.003033447752851,-16.314199395770395,0.2083455557711719,0.8
Estonia,2021,152.78,15.053844415995188,4.65316673847473,37204563051.47227,7.154447483343972,321,15,336,19.148936170212767,1330932,15.053844415995188,15.884476534296029,0.24118437305587362,0.8
Estonia,2022,186.76,22.241131038093982,19.3982634080616,38376046174.97097,0.060427832332578646,40806,631,41437,12232.440476190475,1348840,22.241131038093982,12612.14953271028,30.252661546217492,0.6
Estonia,2023,197.72,5.868494324266442,9.15922507983982,41291245222.19485,-3.023035840661919,42005,346,42351,2.205758138861404,1370286,5.868494324266442,2.9382933882272213,30.654184600878942,0.5
Ireland,2010,105.96,-13.49497918197404,-0.918388645376774,221985621537.50043,1.6829723505625793,9099,5088,14187,15.472895979163276,4560155,-46.40906332186931,-78.33829306034997,1.9953269132299232,NA
Ireland,2011,87.86,-17.081917704794257,2.5489783020855,241337364609.73782,1.6487738997814887,8234,5380,13614,-4.038908860224149,4580084,-17.081917704794257,-9.506539180129685,1.797783621435764,NA
Ireland,2012,76.04,-13.453221033462318,1.69474116680366,227270922957.327,-0.3989599645054511,6309,5423,11732,-13.824004701043044,4599533,-13.453221033462318,-23.378673791595823,1.3716609925398948,NA
Ireland,2013,76.99,1.2493424513413842,0.515099484900573,243301556084.98892,2.1921757436481784,5991,5464,11455,-2.361063757245142,4623816,1.2493424513413842,-5.040418449833571,1.2956830462111812,NA
Ireland,2014,89.72,16.534614885050015,0.190916398713745,266787238499.03003,9.336033728686232,5832,4576,10408,-9.140113487560017,4657740,16.534614885050015,-2.6539809714571856,1.2521093921086193,NA
Ireland,2015,100,11.457868925546146,-0.330959783371788,302391428540.03467,24.61556997662558,6108,4982,11090,6.552651806302843,4701957,11.457868925546146,4.732510288065844,1.2990335726166784,2.1
Ireland,2016,107.46,7.459999999999995,0.0201247735963237,305733136180.907,1.2226386099642923,5720,4221,9941,-10.360685302073941,4755335,7.459999999999995,-6.352324819908317,1.2028595251438647,2.5
Ireland,2017,119.14,10.869160617904344,0.362173038229378,348532394023.5947,10.049628539461366,6394,5991,12385,24.585051805653354,4807388,10.869160617904344,11.783216783216783,1.330036185970427,3.2
Ireland,2018,131.33,10.231660231660241,0.471130713712916,395461216460.4177,7.544341907600312,6012,7159,13171,6.346386758175212,4867316,10.231660231660241,-5.9743509540193935,1.2351776625967987,4.1
Ireland,2019,134.41,2.3452371887611236,0.937842961189274,407124824064.9954,5.040550288017997,7795,7853,15648,18.806468757117912,4934340,2.3452371887611236,29.657351962741185,1.5797452141522474,4.7
Ireland,2020,134.82,0.30503682761699025,-0.326183651280033,436555518400.451,7.157898830572094,9035,7393,16428,4.984662576687116,4985382,0.30503682761699025,15.907633098139835,1.812298435706632,4.7
Ireland,2021,145.98,8.277703604806407,2.34034113447044,531306516907.9837,16.255613244600212,9571,6904,16475,0.28609690771852936,5033164,8.277703604806407,5.932484781405645,1.90158715273335,4.9
Ireland,2022,163.96,12.316755719961652,7.82945736434105,548570250341.9866,8.619503551914917,81256,15108,96364,484.9104704097117,5165700,12.316755719961652,748.9812976700449,15.729910757496565,4.2
Ireland,2023,168.99,3.0678214198585025,6.29942487419125,551394889339.7783,-5.530007360955366,113902,22250,136152,41.28927815366735,5307600,3.0678214198585025,40.17672541104657,21.4601703218027,4.6
Spain,2010,134.55,-1.7668102504197907,1.79986457728769,1427989078916.6694,0.09412231666826187,3814,2688,6502,-10.193370165745856,46576897,-20.379904136339423,-96.6515074362171,0.08188609043663857,NA
Spain,2011,124.27,-7.640282422891128,3.1961018883379,1487568659241.248,-0.6399206912873723,4220,2670,6890,5.967394647800677,46742697,-7.640282422891128,10.644992134242266,0.09028148290202424,NA
Spain,2012,105.9,-14.78232880019312,2.44612782366809,1330994811670.3127,-2.865113672910695,4502,2790,7292,5.834542815674891,46773055,-14.78232880019312,6.682464454976303,0.09625199807880841,NA
Spain,2013,96.24,-9.121813031161482,1.40858109183019,1362186923157.651,-1.4273221918188028,4641,4329,8970,23.011519473395502,46620045,-9.121813031161482,3.08751665926255,0.09954945345934352,NA
Spain,2014,96.54,0.31172069825437587,-0.151114837527235,1380244561361.956,1.520485922798187,5797,7508,13305,48.32775919732442,46480882,0.31172069825437587,24.90842490842491,0.12471794317500258,NA
Spain,2015,100,3.5840066293764177,-0.500365709903242,1206164777553.1243,4.060866697185688,6447,11023,17470,31.30402104472003,46444832,3.5840066293764177,11.212696222183888,0.13880984648625708,9.9
Spain,2016,104.62,4.6200000000000045,-0.202598000426452,1243015667917.1238,2.9151560280817392,12983,20360,33343,90.85861476817402,46484062,4.6200000000000045,101.3804870482395,0.2793000319120132,12.7
Spain,2017,111.1,6.193844389218112,1.95607633363963,1321754088818.826,2.8960420808163008,17541,34866,52407,57.17541912845275,46593236,6.193844389218112,35.107448201494265,0.37647095385261503,14
Spain,2018,118.58,6.732673267326737,1.6749813686379,1431642809327.0579,2.3954112036424675,20437,78685,99122,89.13885549640315,46797754,6.732673267326737,16.509891112251296,0.4367089924871181,17.2
Spain,2019,124.71,5.169505818856464,0.699518994458739,1403496387686.2722,1.9611785315134966,57751,133030,190781,92.47089445329998,47134837,5.169505818856464,182.5806135929931,1.2252296533877904,16.3
Spain,2020,127.5,2.237190281452976,-0.322753017299739,1289783836971.2097,-10.940070659186645,103624,103385,207009,8.50608813246602,47365655,2.237190281452976,79.43239078111202,2.1877455299625854,8.7
Spain,2021,132.19,3.678431372549018,3.0931351197642,1461244901852.6897,6.683144185002803,122539,103850,226389,9.361911800936191,47415794,3.678431372549018,18.253493399212537,2.584349847647811,12.2
Spain,2022,141.98,7.4060065057871185,8.39057634118627,1446498147749.033,6.179312225729632,314490,134580,449070,98.36211123331964,47759127,7.4060065057871185,156.64482328075144,6.584919360020965,14.8
Spain,2023,147.69,4.021693196224827,3.53236133492433,1620090734956.8914,2.675663492582288,385701,204270,589971,31.376177433362283,48347910,4.021693196224827,22.643327291805782,7.977614751082312,14.5
France,2010,99.74,4.637012169534203,1.53112270420926,2646230027988.3384,2.000324726999807,200687,48576,249263,5.227097150045804,65026211,-32.46665312478841,-47.96824483213681,3.0862477901411167,NA
France,2011,105.46,5.734910767996791,2.11159795174994,2870408553990.278,2.437576568770794,210207,49240,259447,4.085644479926824,65340830,5.734910767996791,4.743705372047018,3.217084937549768,NA
France,2012,104.88,-0.5499715531955228,1.9541953161351,2683007095787.227,0.18383527101957498,217865,49885,267750,3.200268262882207,65657659,-0.5499715531955228,3.6430756349693403,3.31819628232557,NA
France,2013,102.93,-1.859267734553765,0.863715497861805,2816077607875.2627,0.7817564459134019,232487,51691,284178,6.135574229691876,65997932,-1.859267734553765,6.711495650976522,3.522640679104915,NA
France,2014,101.36,-1.5253084620616024,0.50775882293799,2861236112552.4214,0.9978329379986661,252248,55826,308074,8.408814193920712,66312067,-1.5253084620616024,8.499830098026987,3.8039532080940863,NA
France,2015,100,-1.3417521704814517,0.0375143805125182,2442483452642.4985,1.0667547348890878,273117,63043,336160,9.116640807078818,66548272,-1.3417521704814517,8.273207319780534,4.104043452848783,33.1
France,2016,101.04,1.0400000000000063,0.18333486112386,2470407619777.1265,0.860031082016107,304527,62764,367291,9.2607686815802,66724104,1.0400000000000063,11.500565691626665,4.563972863539689,37.6
France,2017,104.24,3.167062549485341,1.03228275064662,2588868323334.7104,2.083614850620762,337158,63115,400273,8.979800757437562,66918020,3.167062549485341,10.71530603197746,5.03837381918951,40.2
France,2018,107.29,2.9259401381427583,1.85081508315502,2781576320884.39,1.6459087293270898,368345,89055,457400,14.272009353616157,67158348,2.9259401381427583,9.249965891362507,5.4847239541985155,38
France,2019,110.86,3.3274303290148133,1.10825492288294,2722793515171.7603,2.0274464763963493,407915,102140,510055,11.511805859204198,67382061,3.3274303290148133,10.742646160528851,6.0537625882354655,37.3
France,2020,116.62,5.195742377773773,0.476498852725066,2647926055110.0464,-7.44064593044142,436055,118137,554192,8.653380517787298,67601110,5.195742377773773,6.898496010198203,6.450411834953597,33.1
France,2021,123.98,6.311095866918196,1.64233141038385,2966433692008.092,6.882337865903551,499914,75708,575622,3.86689089701764,67842811,6.311095866918196,14.644712249601541,7.368710002302233,40.4
France,2022,131.82,6.32360058073882,5.22236748369735,2796302210398.8438,2.5708404744396915,612934,75047,687981,19.51958055807457,68065015,6.32360058073882,22.607888556831774,9.005125467172821,40.7
France,2023,131.26,-0.4248217265968763,4.87835726508441,3051831611384.76,0.9364875026714827,664366,79642,744008,8.14368420058112,68287487,-0.4248217265968763,8.391115519778639,9.72895663886416,29.9
Croatia,2010,110.47,-6.325786483507172,1.03055505333574,58981738868.75296,-1.3340815240057111,933,64,997,-21.248025276461295,4295427,-15.838793234801152,-99.85956536005756,0.21720774209409213,NA
Croatia,2011,110.66,0.17199239612564293,2.2727272727273,62903737379.78343,-0.09775145274466013,818,219,1037,4.012036108324975,4280622,0.17199239612564293,-12.32583065380493,0.1910937242297965,NA
Croatia,2012,108.93,-1.563347189589725,3.41207349081358,57551963753.210396,-2.253745580785832,722,329,1051,1.3500482160077145,4260368,-1.563347189589725,-11.7359413202934,0.16946892850570655,NA
Croatia,2013,104.63,-3.94748921325623,2.21658206429779,59852401272.32039,-0.1254498262114936,679,189,868,-17.411988582302566,4233922,-3.94748921325623,-5.955678670360111,0.1603714003233881,NA
Croatia,2014,102.98,-1.5769855681926708,-0.215196159576268,59612144078.413345,-0.5571501973061004,724,87,811,-6.566820276497695,4201598,-1.5769855681926708,6.62739322533137,0.17231539047762304,NA
Croatia,2015,100,-2.8937657797630645,-0.464499004644911,51005200669.69412,2.323175158038552,517,30,547,-32.552404438964246,4151725,-2.8937657797630645,-28.591160220994478,0.12452655221624746,0.7
Croatia,2016,100.89,0.8900000000000006,-1.12500000000002,52654855638.1057,3.4611294735676665,300,529,829,51.553930530164536,4106867,0.8900000000000006,-41.97292069632495,0.0730483845714994,0.9
Croatia,2017,104.75,3.8259490534245213,1.12937210282347,56186190437.99587,3.2809581214065844,508,406,914,10.253317249698432,4041407,3.8259490534245213,69.33333333333334,0.12569879747325624,1.3
Croatia,2018,111.14,6.100238663484488,1.50012501041756,61668130122.58781,2.90468149344008,787,198,985,7.768052516411379,3988775,6.100238663484488,54.92125984251969,0.19730368346171442,1.3
Croatia,2019,121.1,8.961669965808884,0.771820346498019,61467582193.682434,3.1004391144375774,916,454,1370,39.08629441624365,3949390,8.961669965808884,16.39135959339263,0.23193455191814433,1.5
Croatia,2020,130.38,7.663088356729976,0.154811374562106,57963370885.07977,-8.311642578846872,956,567,1523,11.167883211678832,3914206,7.663088356729976,4.366812227074235,0.24423855055150392,1.4
Croatia,2021,139.91,7.309403282712074,2.55450699642041,69006802298.6956,12.631700327771185,1020,562,1582,3.8739330269205516,3878981,7.309403282712074,6.694560669456067,0.26295565768432483,1.7
Croatia,2022,160.69,14.852405117575584,10.7805806758686,71198635101.95143,7.287936432065649,20638,1200,21838,1280.4045512010114,3855641,14.852405117575584,1923.3333333333335,5.352676766327571,2
Croatia,2023,179.88,11.9422490509677,7.9412817758683,84393795502.44211,3.302544880863252,25029,1597,26626,21.925084714717467,3859686,11.9422490509677,21.27628646186646,6.484724405042275,2.1
Italy,2010,118.1,NA,1.52551602118248,2144936254535.0042,1.5291057572893294,56402,4070,60472,1.9299812901377116,59277417,-34.34511896820103,125.34659794638219,0.9514922014904934,NA
Italy,2011,119.7,1.3547840812870522,2.78063272879323,2306974020278.215,0.6954631292078517,58066,13525,71591,18.387022092869426,59379449,1.3547840812870522,2.950249991135066,0.9778804111166475,NA
Italy,2012,116.7,-2.506265664160401,3.04136333226775,2097929495121.6802,-3.1252387954381646,64782,14320,79102,10.491542232962244,59539717,-2.506265664160401,11.566148865084559,1.0880468242736188,NA
